Datetime,Symbol,Open,High,Low,Close,Volume,Market Cap
2017-09-05,BTC,4106.97000000,4484.99000000,3603.00000000,4366.47000000,1228.93815700,5083453.18675071
2017-09-06,BTC,4366.49000000,4662.87000000,4335.26000000,4619.77000000,807.36372600,3626346.05544323
2017-09-07,BTC,4619.77000000,4788.59000000,4438.19000000,4691.61000000,500.42997500,2305795.13638315
2017-09-08,BTC,4691.66000000,4735.39000000,4028.93000000,4282.80000000,1132.25504600,4866527.22639337
2017-09-09,BTC,4282.80000000,4426.62000000,4150.06000000,4258.81000000,658.78295200,2815383.46568698
2017-09-10,BTC,4258.81000000,4283.00000000,3801.00000000,4130.37000000,660.37327500,2700371.80819211
2017-09-11,BTC,4153.62000000,4334.43000000,4098.91000000,4208.47000000,699.98906500,2956842.76250147
2017-09-12,BTC,4208.60000000,4394.59000000,4040.80000000,4163.72000000,879.63031900,3725190.62328952
2017-09-13,BTC,4159.72000000,4165.38000000,3760.00000000,3944.69000000,913.46254500,3570365.92571669
2017-09-14,BTC,3944.00000000,3993.00000000,3165.13000000,3189.02000000,1665.02154300,5914261.40460825
2017-09-15,BTC,3188.01000000,3856.00000000,2817.00000000,3700.00000000,1968.86649200,6588767.18669446
2017-09-16,BTC,3674.01000000,3950.00000000,3470.66000000,3714.95000000,1297.56395300,4804878.24721283
2017-09-17,BTC,3685.23000000,3748.21000000,3499.02000000,3699.99000000,682.17121000,2466490.27859466
2017-09-18,BTC,3690.00000000,4123.20000000,3690.00000000,4035.01000000,1030.00645500,4069033.05715863
2017-09-19,BTC,4060.00000000,4089.97000000,3830.91000000,3910.04000000,902.33212900,3558315.19743872
2017-09-20,BTC,3910.04000000,4046.08000000,3820.00000000,3900.00000000,720.93507600,2839584.45308804
2017-09-21,BTC,3889.99000000,3910.00000000,3567.00000000,3609.99000000,1001.65408400,3757043.07821264
2017-09-22,BTC,3592.84000000,3750.00000000,3505.55000000,3595.87000000,838.96642500,3031771.43292849
2017-09-23,BTC,3595.88000000,3817.19000000,3542.91000000,3780.00000000,752.79279100,2799706.99951511
2017-09-24,BTC,3779.54000000,3789.99000000,3622.76000000,3660.02000000,661.63639000,2445788.43620041
2017-09-25,BTC,3660.02000000,3979.87000000,3653.69000000,3920.75000000,727.99471300,2784170.85318322
2017-09-26,BTC,3928.00000000,3976.99000000,3850.05000000,3882.35000000,526.72798700,2061195.57868009
2017-09-27,BTC,3882.36000000,4249.94000000,3872.81000000,4193.00000000,628.17096600,2554629.81447101
2017-09-28,BTC,4192.11000000,4300.00000000,4101.00000000,4174.50000000,849.78532500,3553178.87037354
2017-09-29,BTC,4178.98000000,4263.86000000,3952.01000000,4174.69000000,1602.30956500,6571746.35900076
2017-09-30,BTC,4175.00000000,4380.00000000,4138.10000000,4378.51000000,720.35318300,3088354.40084536
2017-10-01,BTC,4378.49000000,4406.52000000,4240.04000000,4378.48000000,726.96368500,3137143.89184457
2017-10-02,BTC,4400.00000000,4561.63000000,4360.00000000,4380.00000000,655.75697400,2905282.77570845
2017-10-03,BTC,4380.00000000,4467.33000000,4180.80000000,4310.00000000,1082.32356300,4627422.74283879
2017-10-04,BTC,4314.90000000,4373.00000000,4142.00000000,4208.59000000,868.46510100,3676415.10054891
2017-10-05,BTC,4208.59000000,4355.00000000,4110.00000000,4292.43000000,779.13863800,3295532.82397779
2017-10-06,BTC,4318.99000000,4417.00000000,4292.00000000,4369.00000000,506.52917600,2212035.12414239
2017-10-07,BTC,4369.00000000,4479.50000000,4312.56000000,4423.00000000,297.59750000,1302533.21459281
2017-10-08,BTC,4425.00000000,4658.00000000,4425.00000000,4640.00000000,518.46200400,2347356.46944654
2017-10-09,BTC,4640.00000000,4889.98000000,4550.00000000,4786.95000000,646.46314500,3040508.90436387
2017-10-10,BTC,4786.95000000,4960.00000000,4680.59000000,4783.06000000,1043.22177300,5044283.86347582
